Event Property Name,Property Type,Property Group Names,Property Description,Property Value Type,Property Schema Status,Property Required,Property Is Array,Property First Seen,Property Last Seen
26,Event Property,,,any,LIVE,False,False,,
260,Event Property,,,any,LIVE,False,False,,
261,Event Property,,,any,LIVE,False,False,,
262,Event Property,,,any,LIVE,False,False,,
263,Event Property,,,any,LIVE,False,False,,
264,Event Property,,,any,LIVE,False,False,,
265,Event Property,,,any,LIVE,False,False,,
266,Event Property,,,any,LIVE,False,False,,
267,Event Property,,,any,LIVE,False,False,,
268,Event Property,,,any,LIVE,False,False,,
269,Event Property,,,any,LIVE,False,False,,
27,Event Property,,,any,LIVE,False,False,,
270,Event Property,,,any,LIVE,False,False,,
271,Event Property,,,any,LIVE,False,False,,
272,Event Property,,,any,LIVE,False,False,,
273,Event Property,,,any,LIVE,False,False,,
274,Event Property,,,any,LIVE,False,False,,
275,Event Property,,,any,LIVE,False,False,,
276,Event Property,,,any,LIVE,False,False,,
277,Event Property,,,any,LIVE,False,False,,
278,Event Property,,,any,LIVE,False,False,,
279,Event Property,,,any,LIVE,False,False,,
28,Event Property,,,any,LIVE,False,False,,
280,Event Property,,,any,LIVE,False,False,,
281,Event Property,,,any,LIVE,False,False,,
282,Event Property,,,any,LIVE,False,False,,
283,Event Property,,,any,LIVE,False,False,,
284,Event Property,,,any,LIVE,False,False,,
285,Event Property,,,any,LIVE,False,False,,
286,Event Property,,,any,LIVE,False,False,,
287,Event Property,,,any,LIVE,False,False,,
288,Event Property,,,any,LIVE,False,False,,
289,Event Property,,,any,LIVE,False,False,,
29,Event Property,,,any,LIVE,False,False,,
290,Event Property,,,any,LIVE,False,False,,
291,Event Property,,,any,LIVE,False,False,,
292,Event Property,,,any,LIVE,False,False,,
293,Event Property,,,any,LIVE,False,False,,
294,Event Property,,,any,LIVE,False,False,,
295,Event Property,,,any,LIVE,False,False,,
296,Event Property,,,any,LIVE,False,False,,
297,Event Property,,,any,LIVE,False,False,,
298,Event Property,,,any,LIVE,False,False,,
299,Event Property,,,any,LIVE,False,False,,
3,Event Property,,,any,LIVE,False,False,,
30,Event Property,,,any,LIVE,False,False,,
300,Event Property,,,any,LIVE,False,False,,
301,Event Property,,,any,LIVE,False,False,,
302,Event Property,,,any,LIVE,False,False,,
303,Event Property,,,any,LIVE,False,False,,
304,Event Property,,,any,LIVE,False,False,,
305,Event Property,,,any,LIVE,False,False,,
306,Event Property,,,any,LIVE,False,False,,
307,Event Property,,,any,LIVE,False,False,,
308,Event Property,,,any,LIVE,False,False,,
309,Event Property,,,any,LIVE,False,False,,
31,Event Property,,,any,LIVE,False,False,,
310,Event Property,,,any,LIVE,False,False,,
311,Event Property,,,any,LIVE,False,False,,
312,Event Property,,,any,LIVE,False,False,,
313,Event Property,,,any,LIVE,False,False,,
314,Event Property,,,any,LIVE,False,False,,
315,Event Property,,,any,LIVE,False,False,,
316,Event Property,,,any,LIVE,False,False,,
317,Event Property,,,any,LIVE,False,False,,
318,Event Property,,,any,LIVE,False,False,,
319,Event Property,,,any,LIVE,False,False,,
32,Event Property,,,any,LIVE,False,False,,
320,Event Property,,,any,LIVE,False,False,,
321,Event Property,,,any,LIVE,False,False,,
322,Event Property,,,any,LIVE,False,False,,
323,Event Property,,,any,LIVE,False,False,,
324,Event Property,,,any,LIVE,False,False,,
325,Event Property,,,any,LIVE,False,False,,
326,Event Property,,,any,LIVE,False,False,,
327,Event Property,,,any,LIVE,False,False,,
328,Event Property,,,any,LIVE,False,False,,
329,Event Property,,,any,LIVE,False,False,,
33,Event Property,,,any,LIVE,False,False,,
330,Event Property,,,any,LIVE,False,False,,
331,Event Property,,,any,LIVE,False,False,,
332,Event Property,,,any,LIVE,False,False,,
333,Event Property,,,any,LIVE,False,False,,
334,Event Property,,,any,LIVE,False,False,,
335,Event Property,,,any,LIVE,False,False,,
336,Event Property,,,any,LIVE,False,False,,
337,Event Property,,,any,LIVE,False,False,,
338,Event Property,,,any,LIVE,False,False,,
339,Event Property,,,any,LIVE,False,False,,
34,Event Property,,,any,LIVE,False,False,,
340,Event Property,,,any,LIVE,False,False,,
341,Event Property,,,any,LIVE,False,False,,
342,Event Property,,,any,LIVE,False,False,,
343,Event Property,,,any,LIVE,False,False,,
344,Event Property,,,any,LIVE,False,False,,
345,Event Property,,,any,LIVE,False,False,,
346,Event Property,,,any,LIVE,False,False,,
347,Event Property,,,any,LIVE,False,False,,
348,Event Property,,,any,LIVE,False,False,,
349,Event Property,,,any,LIVE,False,False,,
35,Event Property,,,any,LIVE,False,False,,
350,Event Property,,,any,LIVE,False,False,,
351,Event Property,,,any,LIVE,False,False,,
352,Event Property,,,any,LIVE,False,False,,
353,Event Property,,,any,LIVE,False,False,,
354,Event Property,,,any,LIVE,False,False,,
355,Event Property,,,any,LIVE,False,False,,
356,Event Property,,,any,LIVE,False,False,,
357,Event Property,,,any,LIVE,False,False,,
358,Event Property,,,any,LIVE,False,False,,
36,Event Property,,,any,LIVE,False,False,,
37,Event Property,,,any,LIVE,False,False,,
38,Event Property,,,any,LIVE,False,False,,
39,Event Property,,,any,LIVE,False,False,,
4,Event Property,,,any,LIVE,False,False,,
40,Event Property,,,any,LIVE,False,False,,
41,Event Property,,,any,LIVE,False,False,,
42,Event Property,,,any,LIVE,False,False,,
43,Event Property,,,any,LIVE,False,False,,
44,Event Property,,,any,LIVE,False,False,,
45,Event Property,,,any,LIVE,False,False,,
46,Event Property,,,any,LIVE,False,False,,
47,Event Property,,,any,LIVE,False,False,,
48,Event Property,,,any,LIVE,False,False,,
49,Event Property,,,any,LIVE,False,False,,
4L8bjhAU76euAwucw26ow,Event Property,,,any,LIVE,False,False,,
4eaDxylXnaUskKy4MEWcgC,Event Property,,,any,LIVE,False,False,,
5,Event Property,,,any,LIVE,False,False,,
50,Event Property,,,any,LIVE,False,False,,
51,Event Property,,,any,LIVE,False,False,,
52,Event Property,,,any,LIVE,False,False,,
53,Event Property,,,any,LIVE,False,False,,
54,Event Property,,,any,LIVE,False,False,,
55,Event Property,,,any,LIVE,False,False,,
56,Event Property,,,any,LIVE,False,False,,
57,Event Property,,,any,LIVE,False,False,,
58,Event Property,,,any,LIVE,False,False,,
59,Event Property,,,any,LIVE,False,False,,
6,Event Property,,,any,LIVE,False,False,,
60,Event Property,,,any,LIVE,False,False,,
61,Event Property,,,any,LIVE,False,False,,
62,Event Property,,,any,LIVE,False,False,,
63,Event Property,,,any,LIVE,False,False,,
64,Event Property,,,any,LIVE,False,False,,
65,Event Property,,,any,LIVE,False,False,,
66,Event Property,,,any,LIVE,False,False,,
67,Event Property,,,any,LIVE,False,False,,
68,Event Property,,,any,LIVE,False,False,,
69,Event Property,,,any,LIVE,False,False,,
6LsSKilqZqSQ484Cm0SEEc,Event Property,,,any,LIVE,False,False,,
6nmN6OVe7hWOzkobphPqN7,Event Property,,,any,LIVE,False,False,,
7,Event Property,,,any,LIVE,False,False,,
70,Event Property,,,any,LIVE,False,False,,
71,Event Property,,,any,LIVE,False,False,,
72,Event Property,,,any,LIVE,False,False,,
73,Event Property,,,any,LIVE,False,False,,
74,Event Property,,,any,LIVE,False,False,,
75,Event Property,,,any,LIVE,False,False,,
76,Event Property,,,any,LIVE,False,False,,
77,Event Property,,,any,LIVE,False,False,,
78,Event Property,,,any,LIVE,False,False,,
79,Event Property,,,any,LIVE,False,False,,
7xWmbCHZnOYqIwAuGy2yga,Event Property,,,any,LIVE,False,False,,
8,Event Property,,,any,LIVE,False,False,,
80,Event Property,,,any,LIVE,False,False,,
81,Event Property,,,any,LIVE,False,False,,
82,Event Property,,,any,LIVE,False,False,,
83,Event Property,,,any,LIVE,False,False,,
84,Event Property,,,any,LIVE,False,False,,
85,Event Property,,,any,LIVE,False,False,,
86,Event Property,,,any,LIVE,False,False,,
87,Event Property,,,any,LIVE,False,False,,
88,Event Property,,,any,LIVE,False,False,,
89,Event Property,,,any,LIVE,False,False,,
9,Event Property,,,any,LIVE,False,False,,
90,Event Property,,,any,LIVE,False,False,,
91,Event Property,,,any,LIVE,False,False,,
92,Event Property,,,any,LIVE,False,False,,
93,Event Property,,,any,LIVE,False,False,,
94,Event Property,,,any,LIVE,False,False,,
95,Event Property,,,any,LIVE,False,False,,
96,Event Property,,,any,LIVE,False,False,,
97,Event Property,,,any,LIVE,False,False,,
98,Event Property,,,any,LIVE,False,False,,
99,Event Property,,,any,LIVE,False,False,,
AE First Meeting Occured?,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
AE Handoff Call: Gong Link,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
ARR,Event Property,,,,UNEXPECTED,False,False,2025-02-18,2025-03-13
AWS Account Owner Email,Event Property,,,,UNEXPECTED,False,False,2024-04-04,2025-03-13
AWS Account Owner Name,Event Property,,,,UNEXPECTED,False,False,2024-04-04,2025-03-13
AWS Monthly Revenue,Event Property,,,,UNEXPECTED,False,False,2024-03-08,2025-03-13
A_Role__c (SFDC Lead),Event Property,,,any,LIVE,False,False,,
Account Entry Point,Event Property,,,any,LIVE,False,False,2022-06-01,2023-07-05
Account Name,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
Account Owner,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
Account Plan Link,Event Property,,,,UNEXPECTED,False,False,2023-07-06,2025-03-13
Acquisition Use Cases,Event Property,,,,UNEXPECTED,False,False,2023-10-22,2025-03-13
Active Users 4wk,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
Activity Metric,Event Property,,,,UNEXPECTED,False,False,2023-08-03,2025-03-13
Address,Event Property,,,any,LIVE,False,False,2020-09-18,2024-11-26
Admin Update Counter,Event Property,,,any,LIVE,False,False,2022-06-01,2025-01-11
Admin_CMArchive,Event Property,,,any,LIVE,False,False,2022-06-01,2025-01-10
Admin_Originating_Contact,Event Property,,,any,LIVE,False,False,2022-06-01,2025-01-10
Amended Contract,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
Amplitude Org Id,Event Property,,,any,LIVE,False,False,2018-12-26,2023-09-22
Amplitude Plan Sold,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
Amplitude Plan Type,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
Amplitude Preferred Vendor,Event Property,,,,UNEXPECTED,False,False,2023-07-06,2025-03-13
Amplitude Preferred Vendor for EB,Event Property,,,,UNEXPECTED,False,False,2025-02-12,2025-03-13
Analytics ARR (Change),Event Property,,,any,LIVE,False,False,,
Application Created Date,Event Property,,,,UNEXPECTED,False,False,2023-02-03,2025-03-13
Assigned SC (Lookup),Event Property,,,any,LIVE,False,False,2022-06-01,2024-03-08
Assigned SE (Lookup),Event Property,,,,UNEXPECTED,False,False,2024-03-08,2025-03-13
Assigned Support SC,Event Property,,,,UNEXPECTED,False,False,2024-02-21,2024-03-07
Assigned Support SE,Event Property,,,,UNEXPECTED,False,False,2024-03-11,2025-03-12
At-Risk Trend,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
Attributed Finished Sequences,Event Property,,,,UNEXPECTED,False,False,2024-03-11,2025-03-13
Audiences Syncs & Models ARR (Ending),Event Property,,,,UNEXPECTED,False,False,2022-10-24,2025-02-21
Audiences Syncs & Models ARR (Forecast),Event Property,,,,UNEXPECTED,False,False,2022-10-24,2025-02-21
Audiences Syncs ARR (Ending),Event Property,,,,UNEXPECTED,False,False,2022-10-24,2025-02-21
Audiences Syncs ARR (Forecast),Event Property,,,,UNEXPECTED,False,False,2022-10-24,2025-02-21
Auto Renewal,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
Auto Renewal Effort,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
Auto Renewal Eligibility,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
Auto Renewal Notification Selected,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
Auto Renewal Outcome,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
Auto Renewal Override,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
Available to Renew (ATR),Event Property,,,,UNEXPECTED,False,False,2025-02-18,2025-03-13
BL 4wk,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
Bambu_blaid__c,Event Property,,,any,LIVE,False,False,2020-09-09,2025-05-06
Beginning ACV,Event Property,,,,UNEXPECTED,False,False,2025-02-21,2025-03-13
Beginning ARR,Event Property,,,any,LIVE,False,False,2022-06-01,2025-02-18
Beginning Average ARR,Event Property,,,,UNEXPECTED,False,False,2025-02-21,2025-03-13
Beginning MRR,Event Property,,,,UNEXPECTED,False,False,2023-01-11,2025-03-13
Bill To Tier,Event Property,,,any,LIVE,False,False,2022-06-01,2023-12-15
Bill To Tier (IO),Event Property,,,,UNEXPECTED,False,False,2023-09-06,2024-08-16
Billing Frequency,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
Budget Confirmed,Event Property,,,,UNEXPECTED,False,False,2023-07-06,2025-03-13
Business Pain & Impact of Solution,Event Property,,,any,LIVE,False,False,2022-06-01,2023-07-05
Business Pain (Why buy anything?),Event Property,,,,UNEXPECTED,False,False,2023-07-06,2025-03-13
Button,Event Property,,,any,LIVE,False,False,2020-07-22,2022-02-27
CP: Staging,Event Property,,,any,LIVE,False,False,,
CPM,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
CS Account Assignment Feedback,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
CSM,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
CSM Renewal Outlook,Event Property,,,any,LIVE,False,False,2022-06-08,2025-03-13
CSM Renewal Outlook(Account),Event Property,,,,UNEXPECTED,False,False,2024-09-26,2025-03-13
Campaign Attribution,Event Property,,,any,LIVE,False,False,2022-06-01,2025-01-11
Campaign Offer,Event Property,,,any,LIVE,False,False,2020-03-05,2023-09-22
Campaign Sourced By,Event Property,,,any,LIVE,False,False,2022-06-01,2025-01-11
Campaign Type,Event Property,,,any,LIVE,False,False,2020-03-05,2023-09-22
Category,Event Property,,,any,LIVE,False,False,2020-07-21,2024-02-13
Celigo Update,Event Property,,,any,LIVE,False,False,2022-06-01,2023-12-15
Champion (Contact),Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
Champion Approved,Event Property,,,,UNEXPECTED,False,False,2023-10-02,2025-03-13
Change in ARR,Event Property,,,any,LIVE,False,False,2022-06-01,2025-02-18
Change in Average ARR,Event Property,,,,UNEXPECTED,False,False,2025-02-21,2025-03-13
Change in MRR,Event Property,,,,UNEXPECTED,False,False,2023-01-21,2025-03-13
Chart Compute Totals 4wk,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
Chart Compute Users 4wk,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
CheckBox,Event Property,,,any,LIVE,False,False,,
Churn ARR,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
Churn Average ARR,Event Property,,,,UNEXPECTED,False,False,2025-02-21,2025-03-13
Churn MRR,Event Property,,,,UNEXPECTED,False,False,2023-01-21,2025-03-13
Churn Reason,Event Property,,,any,LIVE,False,False,2022-06-01,2024-10-01
Churn Recognition Date,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
Churn Result,Event Property,,,any,LIVE,False,False,2022-06-01,2024-10-01
Churn Type,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
City,Event Property,,,any,LIVE,False,False,2020-09-23,2024-11-26
Close Date,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
Closed,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
Closed Lost / Churn Notes,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
Closed Lost Reason(s),Event Property,,,,UNEXPECTED,False,False,2022-10-13,2024-04-19
Closed | Annual Revenue,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
Closed | Customer Segment,Event Property,,,any,LIVE,False,False,2022-06-01,2025-02-25
Closed | Employee Count,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
Closed | MASTER Annual Revenue,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
Closed | MASTER Employee Count,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
Closed | MASTER Region,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
Closed | Region,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
Company,Event Property,,,any,LIVE,False,False,2018-10-24,2025-06-07
Compelling Event(s) (Why buy now?),Event Property,,,,UNEXPECTED,False,False,2023-07-06,2025-03-13
Competition,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
ConfirmEmail,Event Property,,,any,LIVE,False,False,2019-07-20,2020-10-14
Contact Converted From Lead,Event Property,,,any,LIVE,False,False,2018-12-19,2023-09-22
Contact_Sales_Notes__c,Event Property,,,any,LIVE,False,False,2018-10-24,2023-08-10
Contract End Date,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
Contract Event Volume (MM),Event Property,,,any,LIVE,False,False,2022-06-01,2023-01-10
Contract Length (months),Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
Contract Opportunity (IO),Event Property,,,,UNEXPECTED,False,False,2023-09-06,2024-08-16
Contract Renewal Date,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
Contract Signature Date,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
Contract Start Date,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
Contract URL (Dropbox),Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
Contracted,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
Converted from Lead?,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
Copy,Event Property,,,any,LIVE,False,False,2020-06-17,2020-09-04
Country,Event Property,,,any,LIVE,False,False,2018-10-24,2025-06-07
Country site,Event Property,,,string,LIVE,False,False,2020-11-10,2023-07-10
Create Contracted Prices,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
Create | Current Plan,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
Create | DataFox Account Score,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
Create | Heat Map Grade,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
Create | MASTER Parent Account Employees,Event Property,,,any,LIVE,False,False,2022-06-01,2025-03-13
