Action,Object Type,Object Name,Event Display Name,Object Owner,Object Description,Event Category,Tags,Event Schema Status,Event Activity,Event Hidden From Dropdowns,Event Hidden From Persona Results,Event Hidden From Pathfinder,Event Hidden From Timeline,Event Source,Event 30 Day Volume,Event 30 Day Queries,Event First Seen,Event Last Seen,Property Type,Property Group Names,Event Property Name,Property Description,Property Value Type,Property Schema Status,Property Required,Property Visibility,Property Is Array,String Property Value Min Length,String Property Value Max Length,Number Is Integer,Number Property Value Min,Number Property Value Max,Array Unique Items,Array Min Items,Array Max Items,Enum Values,Const Value,Property Regex,Property First Seen,Property Last Seen
,,,,,,,,,,,,,,,,,,,Event Property,,[Amplitude] Session Recorded,,boolean,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2023-08-01,2025-06-05
,,,,,,,,,,,,,,,,,,,Event Property,,[Amplitude] Session Replay ID,,string,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2023-12-15,2025-06-07
IGNORE,Event,[Clearbit] enrichment,,naoto.yamaura@amplitude.com,,,,DELETED,INACTIVE,FALSE,FALSE,FALSE,FALSE,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,Event,[Cookie-Control] apply cookie preferences,,naoto.yamaura@amplitude.com,,cookies,,,INACTIVE,FALSE,FALSE,FALSE,FALSE,web,874066,0,2020-03-12,2025-06-07,,,,,,,,,,,,,,,,,,,,,,
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Amplitude] Session Recorded,,,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2023-08-01,2025-06-05
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Amplitude] Session Replay ID,,,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2023-12-15,2025-06-07
,,,,,,,,,,,,,,,,,,,Event Property,,action,,string,,TRUE,VISIBLE,FALSE,,,,,,,,,,,,2019-09-05,2025-06-07
,,,,,,,,,,,,,,,,,,,Event Property,,type,,string,,TRUE,VISIBLE,FALSE,,,,,,,,,,,,2019-04-13,2025-06-07
,Event,[Cookie-Control] button click,,naoto.yamaura@amplitude.com,,cookies,,,ACTIVE,FALSE,FALSE,FALSE,FALSE,web,39965,3,2020-03-11,2025-06-07,,,,,,,,,,,,,,,,,,,,,,
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Amplitude] Session Recorded,,,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2023-08-01,2025-06-05
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Amplitude] Session Replay ID,,,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2023-12-15,2025-06-07
,,,,,,,,,,,,,,,,,,,Event Property,,advertising,,string,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2020-03-24,2025-06-07
,,,,,,,,,,,,,,,,,,,Event Property,,content,,string,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2020-03-24,2021-02-01
,,,,,,,,,,,,,,,,,,,Event Property,,functional,,string,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2021-02-01,2025-06-07
,,,,,,,,,,,,,,,,,,,Event Property,,marketing_cookies,,string,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2020-03-12,2020-03-26
,,,,,,,,,,,,,,,,,,,Event Property,,performance,,string,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2020-03-24,2025-06-07
,,,,,,,,,,,,,,,,,,,Event Property,,type,,string,,TRUE,VISIBLE,FALSE,,,,,,,,,,,,2019-04-13,2025-06-07
IGNORE,Event,[Cookie-Control] made selection,,naoto.yamaura@amplitude.com,,,,DELETED,ACTIVE,FALSE,FALSE,FALSE,FALSE,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,Event,[Cookie-Control] opened widget,,naoto.yamaura@amplitude.com,,cookies,,,ACTIVE,FALSE,FALSE,FALSE,FALSE,web,3701,0,2020-02-05,2025-06-07,,,,,,,,,,,,,,,,,,,,,,
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Amplitude] Session Recorded,,,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2023-08-01,2025-06-05
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Amplitude] Session Replay ID,,,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2023-12-15,2025-06-07
,Event,[Cookie-Control] viewed widget,,naoto.yamaura@amplitude.com,,cookies,,,ACTIVE,FALSE,FALSE,FALSE,FALSE,web,234952,0,2020-01-27,2025-06-07,,,,,,,,,,,,,,,,,,,,,,
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Amplitude] Session Recorded,,,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2023-08-01,2025-06-05
IGNORE,,,,,,,,,,,,,,,,,,,Event Property,,[Amplitude] Session Replay ID,,,UNEXPECTED,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2023-12-15,2025-06-07
,Event,[Corpsite New Infra] - Viewed Page,,naoto.yamaura@amplitude.com,,website navigation,,,ACTIVE,FALSE,FALSE,FALSE,FALSE,,0,0,2019-08-13,2024-03-15,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Event Property,,path,,string,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2018-06-29,2025-06-07
,Event,[Drift] conversation: clicked bot response,,naoto.yamaura@amplitude.com,,drift,,,ACTIVE,FALSE,FALSE,FALSE,FALSE,,0,0,2019-01-18,2021-02-18,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Event Property,,button body,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2019-01-18,2021-02-18
,,,,,,,,,,,,,,,,,,,Event Property,,conversation ID,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2019-01-17,2021-08-26
,,,,,,,,,,,,,,,,,,,Event Property,,question ID,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2019-01-18,2021-02-18
,Event,[Drift] conversation: first interaction,,naoto.yamaura@amplitude.com,,drift,,,ACTIVE,FALSE,FALSE,FALSE,FALSE,,0,0,2019-04-04,2021-03-24,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Event Property,,campaign ID,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2019-04-17,2021-03-24
,,,,,,,,,,,,,,,,,,,Event Property,,conversation ID,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2019-01-17,2021-08-26
,,,,,,,,,,,,,,,,,,,Event Property,,playbook ID,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2019-01-20,2024-08-24
,Event,[Drift] conversation: message received,,naoto.yamaura@amplitude.com,,drift,,,INACTIVE,FALSE,FALSE,FALSE,FALSE,,0,0,2019-01-17,2021-08-26,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Event Property,,conversation ID,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2019-01-17,2021-08-26
,Event,[Drift] conversation: message sent,,naoto.yamaura@amplitude.com,,drift,,,ACTIVE,FALSE,FALSE,FALSE,FALSE,,0,0,2019-01-18,2021-03-24,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Event Property,,conversation ID,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2019-01-17,2021-08-26
,Event,[Drift] conversation: started,,naoto.yamaura@amplitude.com,,drift,,,ACTIVE,FALSE,FALSE,FALSE,FALSE,,0,0,2019-01-24,2021-03-24,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Event Property,,conversation ID,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2019-01-17,2021-08-26
,Event,[Drift] email captured,,naoto.yamaura@amplitude.com,,drift,,,ACTIVE,FALSE,FALSE,FALSE,FALSE,,0,3,2019-01-21,2021-02-16,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Event Property,,email,,string,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2018-11-19,2025-06-07
,Event,[Drift] Experiment Eligibility,,naoto.yamaura@amplitude.com,,drift,,,INACTIVE,FALSE,FALSE,FALSE,FALSE,,0,0,2019-01-24,2024-06-06,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Event Property,,experimentId,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2019-01-24,2024-06-06
,,,,,,,,,,,,,,,,,,,Event Property,,variant,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2019-01-24,2025-06-04
,Event,[Drift] meeting: booked,,naoto.yamaura@amplitude.com,,drift,,,ACTIVE,FALSE,FALSE,FALSE,FALSE,,0,3,2019-01-24,2021-02-02,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Event Property,,conversation ID,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2019-01-17,2021-08-26
,,,,,,,,,,,,,,,,,,,Event Property,,meeting date,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2019-01-24,2021-02-02
,,,,,,,,,,,,,,,,,,,Event Property,,meeting duration,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2019-01-24,2021-02-02
,,,,,,,,,,,,,,,,,,,Event Property,,playbook ID,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2019-01-20,2024-08-24
,,,,,,,,,,,,,,,,,,,Event Property,,team member,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2019-01-24,2021-02-02
,Event,[Drift] meeting: prompt,,naoto.yamaura@amplitude.com,,drift,,,INACTIVE,FALSE,FALSE,FALSE,FALSE,,0,0,2019-01-29,2021-02-02,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Event Property,,team member,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2019-01-24,2021-02-02
,Event,[Drift] playbook: clicked,,naoto.yamaura@amplitude.com,,drift,,,ACTIVE,FALSE,FALSE,FALSE,FALSE,,0,0,2019-01-21,2021-08-26,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Event Property,,playbook ID,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2019-01-20,2024-08-24
,Event,[Drift] playbook: dismissed,,naoto.yamaura@amplitude.com,,drift,,,ACTIVE,FALSE,FALSE,FALSE,FALSE,,0,0,2019-01-21,2021-02-27,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Event Property,,playbook ID,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2019-01-20,2024-08-24
,Event,[Drift] playbook: fired,,naoto.yamaura@amplitude.com,,drift,,,INACTIVE,FALSE,FALSE,FALSE,FALSE,,0,0,2019-04-02,2024-08-24,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Event Property,,conversation ID,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2019-01-17,2021-08-26
,,,,,,,,,,,,,,,,,,,Event Property,,playbook ID,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2019-01-20,2024-08-24
,Event,[Drift] playbook: responded,,naoto.yamaura@amplitude.com,,drift,,,ACTIVE,FALSE,FALSE,FALSE,FALSE,,0,0,2019-01-24,2021-01-07,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Event Property,,playbook ID,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2019-01-20,2024-08-24
,Event,[Drift] playbook: shown,,naoto.yamaura@amplitude.com,,drift,,,INACTIVE,FALSE,FALSE,FALSE,FALSE,,0,0,2019-01-20,2020-10-27,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Event Property,,playbook ID,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2019-01-20,2024-08-24
,Event,[Drift] sidebar: closed,,,,,,,ACTIVE,FALSE,FALSE,FALSE,FALSE,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,Event,[Drift] sidebar: opened,,,,,,,ACTIVE,FALSE,FALSE,FALSE,FALSE,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,Event,[Enrichment] applied company info,,naoto.yamaura@amplitude.com,,contact,,,INACTIVE,FALSE,FALSE,FALSE,FALSE,,0,0,2020-03-27,2024-02-17,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Event Property,,segment,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2019-02-22,2024-02-13
,Event,[Enrichment] applied parent company info,,naoto.yamaura@amplitude.com,,contact,,,INACTIVE,FALSE,FALSE,FALSE,FALSE,,0,0,2020-03-27,2021-11-21,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Event Property,,segment,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2019-02-22,2024-02-13
IGNORE,Event,[experiment - ad block modal] cta clicked,,naoto.yamaura@amplitude.com,,,,DELETED,ACTIVE,FALSE,FALSE,FALSE,FALSE,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
IGNORE,Event,[experiment - ad block modal] modal closed,,naoto.yamaura@amplitude.com,,,,DELETED,ACTIVE,FALSE,FALSE,FALSE,FALSE,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
IGNORE,Event,[experiment - ad block modal] modal open,,naoto.yamaura@amplitude.com,,,,DELETED,ACTIVE,FALSE,FALSE,FALSE,FALSE,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,Event,[experiment - homepage demo cta] - click link,,naoto.yamaura@amplitude.com,,,,,ACTIVE,FALSE,FALSE,FALSE,FALSE,,0,0,2019-02-09,2020-12-10,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Event Property,,path,,string,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2018-06-29,2025-06-07
,,,,,,,,,,,,,,,,,,,Event Property,,ref,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2018-10-24,2021-02-22
,Event,[Experiment: anon_kudu_pricing_nudge] exposure,,,,,,,ACTIVE,FALSE,FALSE,FALSE,FALSE,,0,0,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Event Property,,path,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2018-06-29,2025-06-07
,,,,,,,,,,,,,,,,,,,Event Property,,type,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2019-04-13,2025-06-07
,Event,[Experiment] Assignment,,naoto.yamaura@amplitude.com,,,,,ACTIVE,FALSE,FALSE,FALSE,FALSE,,2098988,827,2021-05-27,2025-06-07,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Event Property,,[Experiment] Endpoint,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2021-05-27,2025-06-07
,,,,,,,,,,,,,,,,,,,Event Property,,[Experiment] Environment ID,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2021-05-27,2025-06-07
,,,,,,,,,,,,,,,,,,,Event Property,,[Experiment] Environment Name,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2021-05-27,2025-06-07
,,,,,,,,,,,,,,,,,,,Event Property,,new-org-activation-form.details,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2022-02-12,2023-08-16
,,,,,,,,,,,,,,,,,,,Event Property,,new-org-activation-form.name,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2021-07-21,2022-02-11
,,,,,,,,,,,,,,,,,,,Event Property,,new-org-activation-form.rule,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2021-07-21,2022-02-11
,,,,,,,,,,,,,,,,,,,Event Property,,new-org-activation-form.variant,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2021-07-21,2023-08-16
,,,,,,,,,,,,,,,,,,,Event Property,,new-org-activation-form.version,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2021-07-21,2022-02-11
,,,,,,,,,,,,,,,,,,,Event Property,,new-org-activation-short-form.name,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2021-07-16,2021-07-16
,,,,,,,,,,,,,,,,,,,Event Property,,new-org-activation-short-form.rule,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2021-07-16,2021-07-16
,,,,,,,,,,,,,,,,,,,Event Property,,new-org-activation-short-form.variant,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2021-07-16,2021-07-16
,,,,,,,,,,,,,,,,,,,Event Property,,new-org-activation-short-form.version,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2021-07-16,2021-07-16
,,,,,,,,,,,,,,,,,,,Event Property,,pricing-page-v2.details,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2022-02-11,2022-03-11
,,,,,,,,,,,,,,,,,,,Event Property,,pricing-page-v2.name,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2021-12-14,2022-02-11
,,,,,,,,,,,,,,,,,,,Event Property,,pricing-page-v2.rule,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2021-12-14,2022-02-11
,,,,,,,,,,,,,,,,,,,Event Property,,pricing-page-v2.variant,,any,,FALSE,VISIBLE,FALSE,,,,,,,,,,,,2021-12-14,2022-03-11
